
Параметры:	Период: 01.05.2026 - 30.06.2026

Менеджер		Выручка план	Выручка факт	Прибыль план	Прибыль факт
Заказ покупателя	Покупатель				
Анжелика					-1 709,45
Заказ покупателя 253 от 15.10.2025	Энергия ПАО				-1 709,45
Артем		17 720 477,5	12 212 595,12	16 674 171,41	-3 641 590,05
Заказ покупателя 10 от 10.12.2024	ПАКМАТИК ООО				-1 068,7
Заказ покупателя 2 от 15.01.2025	ПАКМАТИК ООО				-75
Заказ покупателя 332 от 01.11.2025	ИП Павлова Анжелика Алексеевна (без НДС)		252 000		-135 216,38
Заказ покупателя 23 от 18.11.2025	СПЕЦМАШПРОМ ООО		4 783 200		-1 482 109,16
Заказ покупателя 353 от 23.12.2025	Машиностроитель Пермский завод АО				-5 190
Заказ покупателя 358 от 29.12.2025	НПО ТРАНСПРОМРЕСУРС ООО				-10 000
Заказ покупателя 2 от 12.01.2026	ЗМК МОСТ ООО				-5 850
Заказ покупателя 4 от 14.01.2026	ПО МЕТАЛЛИСТ ООО		250 335,52		-150 923,56
Заказ покупателя 13 от 21.01.2026	ВОСТОК-АВТОМАТИЗАЦИЯ ООО ПКФ				-8 304,67
Заказ покупателя 22 от 26.01.2026	НПЦАП АО		1 579 000		-839 029,5
Заказ покупателя 33 от 04.02.2026	СПБ ЗПС ООО				-8 000
Заказ покупателя 35 от 05.02.2026	МПК НОРИЛЬСКИЙ ООО		294 000		-132 723,44
Заказ покупателя 44 от 10.02.2026	РЗМКП АО				-3 230
Заказ покупателя 11 от 11.02.2026	ЛЕБЕДЯНЬМОЛОКО ООО		1 101 000		-529 961,26
Заказ покупателя 25 от 19.02.2026	ГРУППА ИЛИМ АО				-13 865
Заказ покупателя 55 от 05.03.2026	ГРУППА ИЛИМ АО				-8 000
Заказ покупателя 56 от 09.03.2026	МЕТАЛЛ-ЗАВОД ООО		153 450		-4 371,2
Заказ покупателя 61 от 16.03.2026	НПЦАП АО		490 000		-105 100
Заказ покупателя 62 от 17.03.2026	ЛИТЕРАВТО ООО		603 080		-382 409,34
Заказ покупателя 63 от 18.03.2026	АМИ-ЭНЕРГО ООО				-3 425
Заказ покупателя 65 от 25.03.2026	БЕЛГОРОДСКИЙ КОНСЕРВНЫЙ КОМБИНАТ ООО		347 250		221 591,44
Заказ покупателя 10 от 25.03.2026	ЦКБ ФОТОН АО		97 800		47 069
Заказ покупателя 66 от 31.03.2026	Энергия ПАО		14 040		2 964,56
Заказ покупателя 68 от 01.04.2026	ТЕХНОПАРК ООО				-3 000
Заказ покупателя 32 от 02.04.2026	СИБЭНЕРГОМАШ - БКЗ ООО		32 370		-881,12
Заказ покупателя 11 от 03.04.2026	АЭМ-ТЕХНОЛОГИИ АО		99 800		-10 008,4
Заказ покупателя 12 от 03.04.2026	АЛРОСА (ПАО) АК		92 479,8		-328,2
Заказ покупателя 21 от 13.04.2026	РОСАТОМ ВЕТРОЛОПАСТИ АО				-785
Заказ покупателя 70 от 14.04.2026	ЛЕБЕДЯНЬМОЛОКО ООО		138 500		14 943,6
Заказ покупателя 74 от 22.04.2026	АМИ-ЭНЕРГО ООО		20 700		5 762,72
Заказ покупателя 75 от 23.04.2026	ЛОГИСТИКТРАНС ООО		482 500		-283 207,4
Заказ покупателя 76 от 24.04.2026	ЭЛОКС-ПРОМ АО				-1 320
Заказ покупателя 72 от 24.04.2026	КОРДИАНТ АО		15 192,3		-15 261,06
Заказ покупателя 77 от 24.04.2026	КЭМЗ ПАО		213 000		21 909,36
Заказ покупателя 79 от 05.05.2026	ЛЕСОЗАВОДСУДОМА ООО	122 996		122 996	
Заказ покупателя 80 от 06.05.2026	СПБ ЗПС ООО	497 037,5	497 037,5	497 037,5	76 676,18
Заказ покупателя 81 от 06.05.2026	ТЭМП ООО	99 000	99 000	39 270	15 804,48
Заказ покупателя 45 от 07.05.2026	НПЦАП АО	23 650		1 769	
Заказ покупателя 83 от 20.05.2026	МЕХАНИЧЕСКИЙ ЗАВОД АО	180 000	180 000	37 000	31 896,88
Заказ покупателя 84 от 21.05.2026	СИСТЕМА НТЦ	40 417		40 417	
Заказ покупателя 73 от 21.05.2026	НПО ЗАВОД ВОЛНА АО	212 000		212 000	
Заказ покупателя 85 от 21.05.2026	СПЕЦМАШПРОМ ООО	552 840		552 840	-120
Заказ покупателя 86 от 21.05.2026	СПБ ЗПС ООО	84 360	84 360	84 360	30 824,32
Заказ покупателя 87 от 22.05.2026	БАРЕНЦКУЛ ООО	580 400		580 400	
Заказ покупателя 88 от 25.05.2026	БЖТ ООО	99 000	99 000	-18 100	15 804,48
Заказ покупателя 89 от 25.05.2026	ТИАРА ООО	297 067		60 867	
Заказ покупателя 90 от 27.05.2026	БАРЕНЦКУЛ ООО	118 200		103 417,01	-120
Заказ покупателя 91 от 29.05.2026	БАРЕНЦКУЛ ООО	226 865		226 865	-120
Заказ покупателя 92 от 01.06.2026	ЛОГИСТИКТРАНС ООО	11 997 120		11 997 120	-960
Заказ покупателя 1 от 01.06.2026	ЛОГИСТИКТРАНС ООО	37 500	37 500	37 500	37 500
Заказ покупателя 93 от 02.06.2026	БАРЕНЦКУЛ ООО	157 140		157 140	-120
Заказ покупателя 94 от 02.06.2026	БАРЕНЦКУЛ ООО	767 610		767 610	-240
Заказ покупателя 95 от 05.06.2026	БАРЕНЦКУЛ ООО	148 763		148 763	
Заказ покупателя 59 от 06.06.2026	ГИПСОВАЯ КОМПАНИЯ ООО	28 950		28 950	
Заказ покупателя 98 от 10.06.2026	ИП Бадулин Олег Владимирович	175 500		175 500	
Заказ покупателя 102 от 18.06.2026	Энергия ПАО	249 084		184 264	
Заказ покупателя 103 от 18.06.2026	АМИ-ЭНЕРГО ООО	20 700		20 700	
Заказ покупателя 104 от 20.06.2026	СПБ ЗПС ООО	110 100		22 274,6	
Заказ покупателя 105 от 23.06.2026	КАМЕНСКИЙ ЛДК ООО	383 778		118 611,3	
Заказ покупателя 106 от 24.06.2026	ТЭМП ООО	198 000		162 200	
Заказ покупателя 108 от 30.06.2026	БАРЕНЦКУЛ ООО	156 400		156 400	
Заказ покупателя 99 от 30.06.2026	ВИНСЕК ООО	156 000	156 000	156 000	-19 013,68
Тендерный специалист		2 550 023,39	900 023,39	2 550 023,39	-606 030,95
Заказ покупателя 82 от 14.05.2026	АО "НИИ "НЕПТУН"	308 766,5	308 766,5	308 766,5	-125 628,6
Заказ покупателя 97 от 10.06.2026	АО «Калининградский янтарный комбинат»	950 000		950 000	
Заказ покупателя 100 от 10.06.2026	АО "МЗСС"	591 256,89	591 256,89	591 256,89	-480 402,35
Заказ покупателя 107 от 26.06.2026	АО «РЗП»	700 000		700 000	
Итого		20 270 500,89	13 112 618,51	19 224 194,8	-4 249 330,45
