"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://longwang.ru/","663","136","4,875","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/","0,944","154","0,943","","","","ru-RU","7c0493297578d7cb11f428854e8f19d","Indexable",""
"https://longwang.ru/supplies-services-china/autsorsing-ved/otkryt-kompaniyu-v-kitae/","451","96","4,698","100,000","Very Easy","","0","https://longwang.ru/projects/import-fittings-china/","0,937","133","0,935","","","","ru-RU","97bc6261ef755d0cbcec046c867261eb","Indexable",""
"https://longwang.ru/posledniye-novosti-iz-kitaya/","772","179","4,313","100,000","Very Easy","","0","https://longwang.ru/novosti-is-kitaya/","0,980","62","0,882","","","","ru-RU","8f77dfb3837b7ae55d5ddc0b4a9b5c69","Indexable",""
"https://longwang.ru/supplies-services-china/autsorsing-ved/konsolidacziya-eksporta/","571","105","5,438","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/autsorsing-ved/predstavitel-v-kitae/","0,956","94","0,892","","","","ru-RU","4369f82aa25d222e6b2ba64df1a9e31f","Indexable",""
"https://longwang.ru/supplies-services-china/dostavka-is-kitaya/tamojennoe-oformlenie-china/","914","176","5,193","100,000","Very Easy","","0","https://longwang.ru/useful-articles/cheeper-shipping-china/","0,933","125","0,927","","","","ru-RU","bec121cf1723dfacf9d72414b41debde","Indexable",""
"https://longwang.ru/supplies-services-china/autsorsing-ved/","728","130","5,600","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/autsorsing-ved/ved-s-kitaem/","0,918","141","0,934","","","","ru-RU","7da964d106706871da9229fb2fbd8af","Indexable",""
"https://longwang.ru/projects/sbornye-postavki-dlya-melkogo-opta/","764","138","5,536","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/tovary-optom-dlia-marketpleisa/","0,946","129","0,916","","","","ru-RU","1180a978b6725351466816c78054e878","Indexable",""
"https://longwang.ru/supplies-services-china/poisk-i-podbor-postavshika/","1182","207","5,710","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/goods-check-china/","0,920","126","0,924","","","","ru-RU","5d93aa2f2ec8dd3deb48653616acf5b2","Indexable",""
"https://longwang.ru/projects/ozon-supply-china/","663","120","5,525","100,000","Very Easy","","0","https://longwang.ru/useful-articles/tovary-iz-kitaya-dlya-marketplejsov/","0,952","74","0,882","","","","ru-RU","df776931053425f1555d07e8ab2dfe80","Indexable",""
"https://longwang.ru/supplies-services-china/goods-check-china/","815","154","5,292","100,000","Very Easy","","0","https://longwang.ru/useful-articles/kak-vernut-tovar-v-kitay/","0,945","146","0,951","","","","ru-RU","c472b4702663a5e1d293187e9fba999c","Indexable",""
"https://longwang.ru/supplies-services-china/dostavka-is-kitaya/cargo/","325","85","3,824","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/autsorsing-ved/predstavitel-v-kitae/","0,871","114","0,896","","","","ru-RU","313eae5d3aab10932ed272ebc1cccb45","Indexable",""
"https://longwang.ru/supplies-services-china/poisk-tovara-v-kitae/","862","153","5,634","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/poisk-i-podbor-postavshika/","0,919","126","0,919","","","","ru-RU","3edc60e89b8b698113c364c623f4e5d","Indexable",""
