Целевая URL,Title целевой,H1 целевой,Текущих Content Inlinks,Текущих Card Inlinks,URL донора,Title донора,H1 донора,Cosine Similarity,Приоритет донора,Уже есть слабая ссылка,Текущие позиции ссылки
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,Поставки Autonics напрямую от дистрибьютера,Поставки оригинальной продукции Autonics,0,1,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,Авиадоставка из Китая – Long Wang,Авиа доставка из Китая,0.8859,1,no,
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/sany-product-supplies/,Поставка продукции бренда SANY – Long Wang,Поставка продукции Sany,0,1,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,Авиадоставка из Китая – Long Wang,Авиа доставка из Китая,0.877558,1,no,
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/wilo-product-supplies/,Поставки Wilo напрямую от дистрибьютера,Поставки оригинальной продукции Wilo,0,1,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/festo-equipment-supplies/,Поставка продукции Festo – Long Wang,Поставка продукции Festo,0.870959,1,no,
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/sany-product-supplies/,Поставка продукции бренда SANY – Long Wang,Поставка продукции Sany,0,1,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/xinyak-product-supplies/,Поставки оборудования Xinyak напрямую от дистрибьютера,Поставки оригинальной продукции Xinyak,0.866656,2,no,
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/xinyak-product-supplies/,Поставки оборудования Xinyak напрямую от дистрибьютера,Поставки оригинальной продукции Xinyak,0,1,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/sany-product-supplies/,Поставка продукции бренда SANY – Long Wang,Поставка продукции Sany,0.866656,1,no,
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/cummins-product-supplies/,Поставка продукции бренда Cummins – Long Wang,Поставка продукции Cummins,0,1,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,Авиадоставка из Китая – Long Wang,Авиа доставка из Китая,0.866636,1,no,
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/sany-product-supplies/,Поставка продукции бренда SANY – Long Wang,Поставка продукции Sany,0,1,https://longwang.ru/supplies-services-china/autsorsing-ved/ved-s-kitaem/,ВЭД с Китаем — работа с КНР для бизнеса - Long Wang,ВЭД с Китаем,0.866564,3,no,
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,Поставки Autonics напрямую от дистрибьютера,Поставки оригинальной продукции Autonics,0,1,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/festo-equipment-supplies/,Поставка продукции Festo – Long Wang,Поставка продукции Festo,0.866074,2,no,
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/eaton-supply-china/,Оригиналы Eaton от дистрибьютера в Китае - Long Wang,Оригиналы Eaton от официального дистрибьютера в Китае,0,1,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,Авиадоставка из Китая – Long Wang,Авиа доставка из Китая,0.865711,1,no,
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/wilo-product-supplies/,Поставки Wilo напрямую от дистрибьютера,Поставки оригинальной продукции Wilo,0,1,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,Авиадоставка из Китая – Long Wang,Авиа доставка из Китая,0.863546,2,no,
