Целевая URL,Title,H1,Content Inlinks,Card Inlinks,Unique Content Donors,Unique Card Donors,Near Duplicates,Semantically Similar Pages,Opportunities,Best Donor 1,Best Donor 2,Best Donor 3,Redirect/Canonical Link Fixes,Priority Score
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/abb-product-supplies/,Продукция ABB от дистрибьютера в Китае - Прямые поставки - Long Wang,Оригиналы ABB от официального дистрибьютера в Китае,0,1,0,1,4,32,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/novosti-is-kitaya/page/2/,https://longwang.ru/useful-articles/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/airtac-supple-china/,Продукция бренда AiRTAC – Long Wang,Продукция бренда AiRTAC,0,1,0,1,0,35,8,https://longwang.ru/projects/podbor-i-proverka-postavschika-gruzovykh-avtomobiley/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/smc-product-supplies/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/allen-bradley-product-supplies/,Поставка продукции бренда Allen-Bradley – Long Wang,Поставка продукции Allen-Bradley,0,1,0,1,0,39,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/freight-road-transportation/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,Поставки Autonics напрямую от дистрибьютера,Поставки оригинальной продукции Autonics,0,1,0,1,0,121,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/festo-equipment-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/volvo-penta-product-supplies/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/baluff-sensors/,Продукция Baluff от дистрибьютера в Китае - Прямые поставки - Long Wang,Baluff от официального дилера в Китае,0,1,0,1,0,9,8,https://longwang.ru/novosti-is-kitaya/portah-dalnego-vostoka/,https://longwang.ru/useful-articles/page/5/,https://longwang.ru/useful-articles/tamozhennaya-sertifikacziya/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/cummins-product-supplies/,Поставка продукции бренда Cummins – Long Wang,Поставка продукции Cummins,0,1,0,1,0,101,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/omron-product-supplies/,https://longwang.ru/projects/tranzitnyj-eksport-dlya-slozhnyh-setevyh-i-servernyh-reshenij/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/curtis-instruments-product-supplies/,Поставка продукции бренда Curtis Instruments – Long Wang,Поставка продукции Curtis Instruments,0,1,0,1,0,0,8,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/allen-bradley-product-supplies/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/freight-road-transportation/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/festo-equipment-supplies/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/eaton-supply-china/,Оригиналы Eaton от дистрибьютера в Китае - Long Wang,Оригиналы Eaton от официального дистрибьютера в Китае,0,1,0,1,3,63,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/,https://longwang.ru/supplies-services-china/autsorsing-ved/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/general-electric-product-supplies/,Поставка продукции General Electric – Long Wang,Поставка продукции General Electric,0,1,0,1,0,30,8,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/sany-product-supplies/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/allen-bradley-product-supplies/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/honeywell-supply/,Оригиналы Honeywell от дистрибьютера в Китае - Long Wang,Оригиналы Honeywell от официального дистрибьютера в Китае,0,1,0,1,0,1,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/eaton-supply-china/,https://longwang.ru/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/kubler-equipment/,"Поставка оригинального оборудования, энкодеров Kubler- Long Wang",Поставка продукции Kubler,0,1,0,1,0,0,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/omron-product-supplies/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/freight-road-transportation/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/pilz-equipment/,"Поставка оригинального оборудования, реле Pilz- Long Wang",Поставка продукции PILZ,0,1,0,1,0,11,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/eaton-supply-china/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/sany-product-supplies/,Поставка продукции бренда SANY – Long Wang,Поставка продукции Sany,0,1,0,1,0,110,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/xinyak-product-supplies/,https://longwang.ru/supplies-services-china/autsorsing-ved/ved-s-kitaem/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/supply-ifm-electronic/,Поставка оригинального оборудования IFM Electronic- Long Wang,Поставка продукции IFM Electronic,0,1,0,1,0,13,8,https://longwang.ru/international/proizvodstvo-plastmassovyh-izdelij-v-kitae/,https://longwang.ru/novosti-is-kitaya/portah-dalnego-vostoka/,https://longwang.ru/novosti-is-kitaya/kitajskie-drony-mirovoj-trend/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/turck-product-supplies/,Поставка оборудования Turck для автоматизации - Long Wang,Поставка продукции Turck,0,1,0,1,0,4,8,https://longwang.ru/supplies-services-china/goods-check-china/,https://longwang.ru/projects/podbor-i-proverka-postavschika-gruzovykh-avtomobiley/,https://longwang.ru/useful-articles/tamozhennaya-sertifikacziya/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/volvo-penta-product-supplies/,Поставка продукции бренда VOLVO PENTA – Long Wang,Поставка продукции Volvo Penta,0,1,0,1,0,67,8,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/sany-product-supplies/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/wilo-product-supplies/,Поставки Wilo напрямую от дистрибьютера,Поставки оригинальной продукции Wilo,0,1,0,1,0,91,8,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/festo-equipment-supplies/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/xinyak-product-supplies/,Поставки оборудования Xinyak напрямую от дистрибьютера,Поставки оригинальной продукции Xinyak,0,1,0,1,0,101,8,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/sany-product-supplies/,https://longwang.ru/novosti-is-kitaya/page/2/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,0,21
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/festo-equipment-supplies/,Поставка продукции Festo – Long Wang,Поставка продукции Festo,1,1,1,1,0,67,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/wilo-product-supplies/,0,20
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/schneider-electric-supply/,Продукция Schneider Electric от дистрибьютера в Китае - Long Wang,Оригиналы Schneider от официального дистрибьютера в Китае,1,1,1,1,3,2,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/posledniye-novosti-iz-kitaya/page/6/,https://longwang.ru/useful-articles/cheeper-shipping-china/,0,20
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/brevini-motion-systems-product-supplies/,"Редукторы, мотор-редукторы, насосы Brevini - Long Wang",Редукторы Brevini и гидромоторы: поставка оригиналов из Китая,2,1,2,1,0,50,8,https://longwang.ru/supplies-services-china/equipment-from-china/,https://longwang.ru/useful-articles/cheeper-shipping-china/,https://longwang.ru/supplies-services-china/proverka-postavshhika-v-kitae/,0,19
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/fronius-equipment-supply/,Сварочное оборудование Fronius: поставка из Китая — Long Wang,Оригинальное оборудование Fronius со складов в Китае,2,1,2,1,0,0,8,https://longwang.ru/,https://longwang.ru/novosti-is-kitaya/portah-dalnego-vostoka/,https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/drying-cultivation-cabinets/,0,19
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/omron-product-supplies/,Поставка продукции бренда Omron – Long Wang,Поставка продукции Omron,2,1,2,1,0,110,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/useful-articles/page/5/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/,0,19
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/supply-masimo-products/,Поставка оригинального медицинского оборудования Masimo - Long Wang,Поставка продукции Masimo,2,1,2,1,0,89,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/novosti-is-kitaya/portah-dalnego-vostoka/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/festo-equipment-supplies/,0,19
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/baumer-sensors-order/,Поставки датчиков и продуктов Baumer - Long Wang,Датчики и энкодеры Baumer для промышленной автоматизации,3,1,3,1,0,1,8,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/bitzer-compressors-parts/,https://longwang.ru/,https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/drying-cultivation-cabinets/,0,18
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/bitzer-compressors-parts/,Компрессоры Bitzer: поставка оригиналов оборудования и запчастей,Поставка компрессоров Bitzer и оригинальных запчастей,3,1,3,1,0,2,8,https://longwang.ru/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/baumer-sensors-order/,https://longwang.ru/posledniye-novosti-iz-kitaya/page/8/,0,18
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/caterpillar-spare-parts/,Поставки оригинальных деталей Caterpillar (CAT) – Long Wang,Поставка оригинальных деталей Caterpillar (CAT),3,1,3,1,0,3,8,https://longwang.ru/projects/kompressornoe-oborudovanie-v-kratchajshie-sroki/,https://longwang.ru/projects/,https://longwang.ru/posledniye-novosti-iz-kitaya/page/8/,0,18
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/danfoss-product-supplies/,Продукция бренда Danfoss – Long Wang,Продукция бренда Danfoss,3,1,3,1,0,24,8,https://longwang.ru/useful-articles/postavki-danfoss/,https://longwang.ru/useful-articles/page/5/,https://longwang.ru/novosti-is-kitaya/portah-dalnego-vostoka/,0,18
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/hydac-equipment-buy/,Поставка фильтров и гидроаккумуляторов Hydac из Китая — Long Wang,"Фильтры, клапаны и гидроаккумуляторы Hydac со складов в Китае",3,1,3,1,0,0,8,https://longwang.ru/useful-articles/spring-festival-in-china/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/useful-articles/laboratory-thermo-equipment/,0,18
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/mattei-rotors-compressors/,Компрессоры Mattei: поставка роторно-лопастного оборудования из Китая,Поставка компрессоров Mattei и комплектующих,3,1,3,1,0,0,8,https://longwang.ru/posledniye-novosti-iz-kitaya/page/8/,https://longwang.ru/,https://longwang.ru/novosti-is-kitaya/kitajskie-drony-mirovoj-trend/,0,18
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/telco-product-supply/,"Поставка датчиков, разъемов и кабелей Telco из Китая","Оригинальные датчики, разъемы и кабели Telco из Китая",3,1,3,1,0,0,8,https://longwang.ru/useful-articles/incorrect-labeling/,https://longwang.ru/useful-articles/kitajskie-internet-magaziny/,https://longwang.ru/posledniye-novosti-iz-kitaya/page/6/,0,18
