"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://longwang.ru/","https://longwang.ru/","110337","Фирменный логотип компании longwang","","200","OK","true","","","Absolute","//body/div/header/div/div/a","Header","HTML"
"Hyperlink","https://longwang.ru/","https://longwang.ru/","110337","Поиск","","200","OK","true","","","Path-Relative","//body/div/header/div/div/div[@class='block-sv']/div[4]/a","Header","HTML"
"Hyperlink","https://longwang.ru/","https://longwang.ru/","110337","Фирменная эмблема компании   longwang","","200","OK","true","","","Absolute","//body/footer/div/div[1]/a","Footer","HTML"
"Hyperlink","https://longwang.ru/posledniye-novosti-iz-kitaya/","https://longwang.ru/","110337","Фирменный логотип компании longwang","","200","OK","true","","","Absolute","//body/div/header/div/div/a","Header","HTML"
"Hyperlink","https://longwang.ru/posledniye-novosti-iz-kitaya/","https://longwang.ru/","110337","","Главная страница","200","OK","true","","","Absolute","//body/div/main/section[1]/div[@class='breadcrumbs']/div/p/span/span[1]/a","Breadcrumbs","HTML"
"Hyperlink","https://longwang.ru/posledniye-novosti-iz-kitaya/","https://longwang.ru/","110337","Фирменная эмблема компании   longwang","","200","OK","true","","","Absolute","//body/footer/div/div[1]/a","Footer","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/autsorsing-ved/otkryt-kompaniyu-v-kitae/","https://longwang.ru/","110337","Фирменный логотип компании longwang","","200","OK","true","","","Absolute","//body/div/header/div/div/a","Header","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/autsorsing-ved/otkryt-kompaniyu-v-kitae/","https://longwang.ru/","110337","","Главная страница","200","OK","true","","","Absolute","//body/div/main/section[1]/div[@class='breadcrumbs']/div/p/span/span[1]/a","Breadcrumbs","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/autsorsing-ved/otkryt-kompaniyu-v-kitae/","https://longwang.ru/","110337","Фирменная эмблема компании   longwang","","200","OK","true","","","Absolute","//body/footer/div/div[1]/a","Footer","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/dostavka-is-kitaya/tamojennoe-oformlenie-china/","https://longwang.ru/","110337","Фирменный логотип компании longwang","","200","OK","true","","","Absolute","//body/div/header/div/div/a","Header","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/dostavka-is-kitaya/tamojennoe-oformlenie-china/","https://longwang.ru/","110337","","Главная страница","200","OK","true","","","Absolute","//body/div/main/section[1]/div[@class='breadcrumbs']/div/p/span/span[1]/a","Breadcrumbs","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/dostavka-is-kitaya/tamojennoe-oformlenie-china/","https://longwang.ru/","110337","Фирменная эмблема компании   longwang","","200","OK","true","","","Absolute","//body/footer/div/div[1]/a","Footer","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/autsorsing-ved/konsolidacziya-eksporta/","https://longwang.ru/","110337","Фирменный логотип компании longwang","","200","OK","true","","","Absolute","//body/div/header/div/div/a","Header","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/autsorsing-ved/konsolidacziya-eksporta/","https://longwang.ru/","110337","","Главная страница","200","OK","true","","","Absolute","//body/div/main/section[1]/div[@class='breadcrumbs']/div/p/span/span[1]/a","Breadcrumbs","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/autsorsing-ved/konsolidacziya-eksporta/","https://longwang.ru/","110337","Фирменная эмблема компании   longwang","","200","OK","true","","","Absolute","//body/footer/div/div[1]/a","Footer","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/autsorsing-ved/","https://longwang.ru/","110337","Фирменный логотип компании longwang","","200","OK","true","","","Absolute","//body/div/header/div/div/a","Header","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/autsorsing-ved/","https://longwang.ru/","110337","","Главная страница","200","OK","true","","","Absolute","//body/div/main/section[1]/div[@class='breadcrumbs']/div/p/span/span[1]/a","Breadcrumbs","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/autsorsing-ved/","https://longwang.ru/","110337","Фирменная эмблема компании   longwang","","200","OK","true","","","Absolute","//body/footer/div/div[1]/a","Footer","HTML"
"Hyperlink","https://longwang.ru/projects/sbornye-postavki-dlya-melkogo-opta/","https://longwang.ru/","110337","Фирменный логотип компании longwang","","200","OK","true","","","Absolute","//body/div/header/div/div/a","Header","HTML"
"Hyperlink","https://longwang.ru/projects/sbornye-postavki-dlya-melkogo-opta/","https://longwang.ru/","110337","","Главная страница","200","OK","true","","","Absolute","//body/div/main/div[@class='breadcrumbs']/div/p/span/span[1]/a","Breadcrumbs","HTML"
"Hyperlink","https://longwang.ru/projects/sbornye-postavki-dlya-melkogo-opta/","https://longwang.ru/","110337","Фирменная эмблема компании   longwang","","200","OK","true","","","Absolute","//body/footer/div/div[1]/a","Footer","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/poisk-i-podbor-postavshika/","https://longwang.ru/","110337","Фирменный логотип компании longwang","","200","OK","true","","","Absolute","//body/div/header/div/div/a","Header","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/poisk-i-podbor-postavshika/","https://longwang.ru/","110337","","Главная страница","200","OK","true","","","Absolute","//body/div/main/section[1]/div[@class='breadcrumbs']/div/p/span/span[1]/a","Breadcrumbs","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/poisk-i-podbor-postavshika/","https://longwang.ru/","110337","Фирменная эмблема компании   longwang","","200","OK","true","","","Absolute","//body/footer/div/div[1]/a","Footer","HTML"
"Hyperlink","https://longwang.ru/vakansii-long-wang-llc/","https://longwang.ru/","110337","Фирменный логотип компании longwang","","200","OK","true","","","Absolute","//body/div/header/div/div/a","Header","HTML"
"Hyperlink","https://longwang.ru/vakansii-long-wang-llc/","https://longwang.ru/","110337","","Главная страница","200","OK","true","","","Absolute","//body/div/main/section[1]/div[@class='breadcrumbs']/div/p/span/span[1]/a","Breadcrumbs","HTML"
"Hyperlink","https://longwang.ru/vakansii-long-wang-llc/","https://longwang.ru/","110337","Фирменная эмблема компании   longwang","","200","OK","true","","","Absolute","//body/footer/div/div[1]/a","Footer","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/goods-check-china/","https://longwang.ru/","110337","Фирменный логотип компании longwang","","200","OK","true","","","Absolute","//body/div/header/div/div/a","Header","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/goods-check-china/","https://longwang.ru/","110337","","Главная страница","200","OK","true","","","Absolute","//body/div/main/section[1]/div[@class='breadcrumbs']/div/p/span/span[1]/a","Breadcrumbs","HTML"
"Hyperlink","https://longwang.ru/supplies-services-china/goods-check-china/","https://longwang.ru/","110337","Фирменная эмблема компании   longwang","","200","OK","true","","","Absolute","//body/footer/div/div[1]/a","Footer","HTML"
"Hyperlink","https://longwang.ru/projects/ozon-supply-china/","https://longwang.ru/","110337","Фирменный логотип компании longwang","","200","OK","true","","","Absolute","//body/div/header/div/div/a","Header","HTML"
