"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://longwang.ru/","663","136","4,875","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/","0,944","155","0,943","","","","ru-RU","fa448629c04744f02c69a9d9dfeb3c18","Indexable",""
"https://longwang.ru/posledniye-novosti-iz-kitaya/","772","179","4,313","100,000","Very Easy","","0","https://longwang.ru/novosti-is-kitaya/","0,980","63","0,883","","","","ru-RU","9df40101effddba393fcc0d1f22215cb","Indexable",""
"https://longwang.ru/supplies-services-china/autsorsing-ved/otkryt-kompaniyu-v-kitae/","451","96","4,698","100,000","Very Easy","","0","https://longwang.ru/projects/import-fittings-china/","0,937","134","0,934","","","","ru-RU","1e2cff84d19ecfe976c2aa57513b2e33","Indexable",""
"https://longwang.ru/supplies-services-china/dostavka-is-kitaya/tamojennoe-oformlenie-china/","914","176","5,193","100,000","Very Easy","","0","https://longwang.ru/useful-articles/cheeper-shipping-china/","0,933","126","0,926","","","","ru-RU","db8a6498a090cc2612c3d8a31379b8a5","Indexable",""
"https://longwang.ru/supplies-services-china/autsorsing-ved/konsolidacziya-eksporta/","571","105","5,438","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/autsorsing-ved/predstavitel-v-kitae/","0,956","96","0,892","","","","ru-RU","e0cb0be402fe4c3e2b2855bef58c0799","Indexable",""
"https://longwang.ru/supplies-services-china/autsorsing-ved/","728","130","5,600","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/autsorsing-ved/ved-s-kitaem/","0,918","140","0,933","","","","ru-RU","b456aca2e6108914600c7bbd92ea5dbc","Indexable",""
"https://longwang.ru/projects/sbornye-postavki-dlya-melkogo-opta/","764","138","5,536","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/tovary-optom-dlia-marketpleisa/","0,946","129","0,916","","","","ru-RU","12327d0d0565ad0b682a26830cd6fbd9","Indexable",""
"https://longwang.ru/supplies-services-china/poisk-i-podbor-postavshika/","1182","207","5,710","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/goods-check-china/","0,920","127","0,924","","","","ru-RU","4b083fd654f6b2073273cf7c3b3d9976","Indexable",""
"https://longwang.ru/vakansii-long-wang-llc/","121","25","4,840","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/autsorsing-ved/konsolidacziya-eksporta/","0,874","22","0,853","","","","ru-RU","9a333f8a4dddbf00107a560fc967d638","Indexable",""
"https://longwang.ru/supplies-services-china/goods-check-china/","815","154","5,292","100,000","Very Easy","","0","https://longwang.ru/useful-articles/kak-vernut-tovar-v-kitay/","0,945","147","0,951","","","","ru-RU","9d1c9f12ba3c83a476d62804939fa5ea","Indexable",""
"https://longwang.ru/projects/ozon-supply-china/","663","120","5,525","100,000","Very Easy","","0","https://longwang.ru/useful-articles/tovary-iz-kitaya-dlya-marketplejsov/","0,952","75","0,882","","","","ru-RU","d6ffe31e57b7014302b6beeb63f13606","Indexable",""
"https://longwang.ru/supplies-services-china/poisk-tovara-v-kitae/","862","153","5,634","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/poisk-i-podbor-postavshika/","0,919","127","0,919","","","","ru-RU","5ac73f4a1a09f964fe82abdf57a06a0d","Indexable",""
"https://longwang.ru/processing-personal-data/","301","53","5,679","100,000","Very Easy","","0","https://longwang.ru/useful-articles/worlds-brend-equipment/","0,872","113","0,897","","","","ru-RU","1cf74b5c32a8201c10b8fa8398214e7c","Indexable",""
"https://longwang.ru/supplies-services-china/dostavka-is-kitaya/cargo/","325","85","3,824","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/autsorsing-ved/predstavitel-v-kitae/","0,871","113","0,896","","","","ru-RU","53dad6d70567a1cb12543d98519d3e78","Indexable",""
"https://longwang.ru/contact/","72","22","3,273","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/autsorsing-ved/akkreditiv-po-dogovoru-postavki/","0,815","7","0,830","","","","ru-RU","e83ea91cb37ffa7521867db96f01502e","Indexable",""
"https://longwang.ru/supplies-services-china/dostavka-is-kitaya/jeleznodorojnaya-dostavka-iz-kitaya/","411","87","4,724","100,000","Very Easy","","0","https://longwang.ru/useful-articles/kak-dostavit-gruz-iz-kitaya/","0,896","103","0,892","","","","ru-RU","ce423347bda9960b828c514b49d6aa85","Indexable",""
"https://longwang.ru/supplies-services-china/dostavka-is-kitaya/","670","128","5,234","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/","0,940","140","0,937","","","","ru-RU","c064a1c6320533b3684f5fad59ac5af1","Indexable",""
"https://longwang.ru/dokumenty/","62","9","6,889","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/equipment-from-china/","0,852","63","0,868","","","","ru-RU","33bd86dcc04841e4ed5e5d83dc19b027","Indexable",""
"https://longwang.ru/supplies-services-china/proverka-postavshhika-v-kitae/","1494","248","6,024","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/goods-check-china/","0,942","136","0,935","","","","ru-RU","e2aea9ee493113d86d66123cca02f08c","Indexable",""
"https://longwang.ru/projects/oborudovanie-v-lizing-po-lgotnoj-stavke/","383","62","6,177","100,000","Very Easy","","0","https://longwang.ru/useful-articles/worlds-brend-equipment/","0,934","128","0,927","","","","ru-RU","ad370bafca319fdf135565c6ac40eca0","Indexable",""
"https://longwang.ru/projects/","77","16","4,812","100,000","Very Easy","","0","https://longwang.ru/projects/ozon-supply-china/","0,898","19","0,842","","","","ru-RU","4a9c170cbf2b6c7503941e513491246c","Indexable",""
"https://longwang.ru/supplies-services-china/dostavka-is-kitaya/sea-shipping-china/","763","135","5,652","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/dostavka-is-kitaya/freight-road-transportation/","0,921","118","0,917","","","","ru-RU","ed704a5f2f1df01192671f547e45df","Indexable",""
"https://longwang.ru/supplies-services-china/autsorsing-ved/platezhi-v-kitai/","865","150","5,767","100,000","Very Easy","","0","https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/","0,937","127","0,926","","","","ru-RU","d16eb3e79b57193fe8b7fab9a11dc342","Indexable",""
