Тип ссылки,Источник,Назначение,Исходное назначение,Анкор,Alt текст,Follow,Позиция ссылки,Категория позиции,Путь ссылки,Происхождение,Статус код
Hyperlink,https://longwang.ru/posledniye-novosti-iz-kitaya/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/posledniye-novosti-iz-kitaya/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/otkryt-kompaniyu-v-kitae/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/otkryt-kompaniyu-v-kitae/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/tamojennoe-oformlenie-china/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/tamojennoe-oformlenie-china/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/konsolidacziya-eksporta/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/konsolidacziya-eksporta/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/projects/sbornye-postavki-dlya-melkogo-opta/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/projects/sbornye-postavki-dlya-melkogo-opta/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/poisk-i-podbor-postavshika/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/poisk-i-podbor-postavshika/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/vakansii-long-wang-llc/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/vakansii-long-wang-llc/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/goods-check-china/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/goods-check-china/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/projects/ozon-supply-china/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/projects/ozon-supply-china/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/poisk-tovara-v-kitae/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/poisk-tovara-v-kitae/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/processing-personal-data/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/processing-personal-data/,https://longwang.ru/,https://longwang.ru/,longwang.ru,,true,Content,Content,//body/div/main/article/div/div/div/div/ul/li[4]/a,HTML,200
Hyperlink,https://longwang.ru/processing-personal-data/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/cargo/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/cargo/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/contact/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/contact/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/jeleznodorojnaya-dostavka-iz-kitaya/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
