Целевая URL,Title,H1,Indexability,Word Count,Spelling Errors,Grammar Errors,Closest Near Duplicate Score,Near Duplicates,Closest Semantic Match,Semantic Similarity Score,Semantically Similar Pages,Content Inlinks,Card Inlinks,Breadcrumb Inlinks,Header/Footer Inlinks,Unique Content Donors,Unique Card Donors
https://longwang.ru/posledniye-novosti-iz-kitaya/,Последние новости из Китая - Long Wang,новости из китая,Indexable,772,0,0,0.0,0,https://longwang.ru/novosti-is-kitaya/,0.98,63,0,0,91,199,0,0
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/abb-product-supplies/,Продукция ABB от дистрибьютера в Китае - Прямые поставки - Long Wang,Оригиналы ABB от официального дистрибьютера в Китае,Indexable,684,0,0,97.0,4,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,0.857,32,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/airtac-supple-china/,Продукция бренда AiRTAC – Long Wang,Продукция бренда AiRTAC,Indexable,511,0,0,0.0,0,https://longwang.ru/projects/podbor-i-proverka-postavschika-gruzovykh-avtomobiley/,0.835,38,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/allen-bradley-product-supplies/,Поставка продукции бренда Allen-Bradley – Long Wang,Поставка продукции Allen-Bradley,Indexable,448,0,0,0.0,0,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,0.85,38,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,Поставки Autonics напрямую от дистрибьютера,Поставки оригинальной продукции Autonics,Indexable,305,0,0,0.0,0,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,0.886,122,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/baluff-sensors/,Продукция Baluff от дистрибьютера в Китае - Прямые поставки - Long Wang,Baluff от официального дилера в Китае,Indexable,680,0,0,0.0,0,https://longwang.ru/novosti-is-kitaya/portah-dalnego-vostoka/,0.832,9,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/cummins-product-supplies/,Поставка продукции бренда Cummins – Long Wang,Поставка продукции Cummins,Indexable,472,0,0,0.0,0,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,0.867,103,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/curtis-instruments-product-supplies/,Поставка продукции бренда Curtis Instruments – Long Wang,Поставка продукции Curtis Instruments,Indexable,535,0,0,0.0,0,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/allen-bradley-product-supplies/,0.78,0,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/eaton-supply-china/,Оригиналы Eaton от дистрибьютера в Китае - Long Wang,Оригиналы Eaton от официального дистрибьютера в Китае,Indexable,732,0,0,85.0,3,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,0.866,63,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/general-electric-product-supplies/,Поставка продукции General Electric – Long Wang,Поставка продукции General Electric,Indexable,457,0,0,0.0,0,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/sany-product-supplies/,0.837,31,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/honeywell-supply/,Оригиналы Honeywell от дистрибьютера в Китае - Long Wang,Оригиналы Honeywell от официального дистрибьютера в Китае,Indexable,783,0,0,0.0,0,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,0.802,1,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/kubler-equipment/,"Поставка оригинального оборудования, энкодеров Kubler- Long Wang",Поставка продукции Kubler,Indexable,601,0,0,0.0,0,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,0.792,0,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/omron-product-supplies/,Поставка продукции бренда Omron – Long Wang,Поставка продукции Omron,Indexable,472,0,0,0.0,0,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,0.883,111,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/pilz-equipment/,"Поставка оригинального оборудования, реле Pilz- Long Wang",Поставка продукции PILZ,Indexable,663,0,0,0.0,0,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,0.832,11,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/sany-product-supplies/,Поставка продукции бренда SANY – Long Wang,Поставка продукции Sany,Indexable,498,0,0,0.0,0,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,0.878,110,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/supply-ifm-electronic/,Поставка оригинального оборудования IFM Electronic- Long Wang,Поставка продукции IFM Electronic,Indexable,966,0,0,0.0,0,https://longwang.ru/international/proizvodstvo-plastmassovyh-izdelij-v-kitae/,0.824,12,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/turck-product-supplies/,Поставка оборудования Turck для автоматизации - Long Wang,Поставка продукции Turck,Indexable,924,0,0,0.0,0,https://longwang.ru/supplies-services-china/goods-check-china/,0.822,4,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/volvo-penta-product-supplies/,Поставка продукции бренда VOLVO PENTA – Long Wang,Поставка продукции Volvo Penta,Indexable,455,0,0,0.0,0,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,0.862,68,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/wilo-product-supplies/,Поставки Wilo напрямую от дистрибьютера,Поставки оригинальной продукции Wilo,Indexable,490,0,0,0.0,0,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/festo-equipment-supplies/,0.871,93,1,1,0,0,1,1
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/xinyak-product-supplies/,Поставки оборудования Xinyak напрямую от дистрибьютера,Поставки оригинальной продукции Xinyak,Indexable,526,0,0,0.0,0,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/sany-product-supplies/,0.867,101,1,1,0,0,1,1
https://longwang.ru/international/import-v-kitaj/,"Импорт и экспорт Китая в отношении России вырос на 31,4% - Long Wang","Импорт и экспорт Китая в отношении России вырос на 31,4%",Indexable,284,0,0,0.0,0,https://longwang.ru/useful-articles/rasschitat-dostavku-iz-kitaya/,0.887,89,2,0,0,0,2,0
https://longwang.ru/international/keetay-nasheemee-partnyeramee/,Россия и Китай: рост торговли сельхозпродукцией в 2025–2026,Россия и Китай: как растёт торговля сельхозпродукцией,Indexable,647,0,0,0.0,0,https://longwang.ru/international/,0.966,117,2,0,0,0,2,0
https://longwang.ru/international/kitajskaya-kosmeticheskaya-industriya/,Косметика из Китая. Индустрия косметики в Китае - Long Wang,Косметика из Китая. Индустрия косметики в Китае,Indexable,361,0,0,0.0,0,https://longwang.ru/international/proizvodstvo-plastmassovyh-izdelij-v-kitae/,0.904,111,2,0,0,0,2,0
https://longwang.ru/international/novyj-hab-dlya-tovarov-iz-kitaya/,Новый хаб для товаров из Китая - Long Wang,Новый хаб для товаров из Китая,Indexable,506,0,0,0.0,0,https://longwang.ru/supplies-services-china/goods-check-china/,0.893,141,2,0,0,0,2,0
https://longwang.ru/international/proizvodstvo-plastmassovyh-izdelij-v-kitae/,Производство пластмассовых изделий в Китае - Long Wang,Производство пластмассовых изделий в Китае,Indexable,517,0,0,0.0,0,https://longwang.ru/international/volna-kitayskogo-eksporta/,0.906,144,2,0,0,0,2,0
https://longwang.ru/international/tovarooborot-rossii-i-kitaya-stavit-rekordy/,Товарооборот России и Китая: как рекорды 2025–2026 меняют правила импорта,Рекорды товарооборота России и Китая: что это значит для бизнеса,Indexable,836,0,0,0.0,0,https://longwang.ru/novosti-is-kitaya/rost-czen-na-postavki-tovarov-iz-kitaya-v-rossiyu/,0.931,61,2,0,0,0,2,0
https://longwang.ru/international/volna-kitayskogo-eksporta/,Новая волна китайского экспорта 2026: что меняется для российского бизнеса,Новая волна китайского экспорта: возможности и риски для российского импорта,Indexable,948,0,0,0.0,0,https://longwang.ru/useful-articles/parallelnyj-import-segodnya/,0.942,146,2,0,0,0,2,0
https://longwang.ru/novosti-is-kitaya/caterpillar-postavki-2022/,CATERPILLAR: поставки запчастей после санкций - Long Wang,CATERPILLAR: поставки запчастей после санкций,Indexable,444,0,0,0.0,0,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/caterpillar-spare-parts/,0.912,3,2,0,0,0,2,0
https://longwang.ru/novosti-is-kitaya/https-longwang-ru-alibaba/,Новый сервис от Alibaba - Long Wang,Новый сервис от Alibaba,Indexable,162,0,0,0.0,0,https://longwang.ru/useful-articles/wholesale-goods-alibaba/,0.867,13,2,0,0,0,2,0
https://longwang.ru/novosti-is-kitaya/itogi-rasprodazhi-11-11/,"Топ товаров на распродаже 11.11 в Китае 2024–2026: цифры, тренды и выводы для бизнеса",Итоги распродаж 11.11 2024–2026 В Китае: что покупают китайцы и как это пригодится бизнесу в РФ,Indexable,1501,0,0,0.0,0,https://longwang.ru/posledniye-novosti-iz-kitaya/,0.926,99,2,0,0,0,2,0
https://longwang.ru/novosti-is-kitaya/keetayiskeeye-bankomati/,Сбербанк переходит на китайские банкоматы и ПО,«СБЕРБАНК» переходит на китайские банкоматы,Indexable,215,0,0,0.0,0,https://longwang.ru/useful-articles/worlds-brend-equipment/,0.873,81,2,0,0,0,2,0
https://longwang.ru/novosti-is-kitaya/kitajskie-akczii-v-rossii/,Китайские акции в России: рост 10% за день и перспективы 2026,Китайские акции в России: рекордный рост и новые возможности для бизнеса,Indexable,738,0,0,0.0,0,https://longwang.ru/novosti-is-kitaya/,0.962,60,2,0,0,0,2,0
https://longwang.ru/novosti-is-kitaya/obmyenniyi-kurs-yuanya-upal/,Обмен юаня: курс упал ниже 7 по отношению к доллару - Long Wang,Обмен юаня: курс упал ниже 7 по отношению к доллару,Indexable,195,0,0,0.0,0,https://longwang.ru/useful-articles/obrazczy-dokumentov-dlya-raboty-s-postavshhikami-iz-kitaya/,0.866,102,2,0,0,0,2,0
https://longwang.ru/novosti-is-kitaya/portah-dalnego-vostoka/,Порты ДФО: Улучшение ситуации - обзор на октябрь 2022 - Long Wang,Порты ДФО: Улучшение ситуации — обзор на октябрь 2022,Indexable,345,0,0,0.0,0,https://longwang.ru/useful-articles/otkaznye-pisma/,0.907,144,2,0,0,0,2,0
https://longwang.ru/novosti-is-kitaya/prekrascheniye-raboty-kitayskogo-banka-s-rossiyey/,Зависшие товары и рост цен – последствия прекращения работы китайского банка с РФ - Long Wang,Зависшие товары и рост цен – последствия прекращения работы китайского банка с РФ,Indexable,763,0,0,0.0,0,https://longwang.ru/useful-articles/worlds-brend-equipment/,0.877,128,2,0,0,0,2,0
https://longwang.ru/novosti-is-kitaya/rost-czen-na-postavki-tovarov-iz-kitaya-v-rossiyu/,Рост цен на поставки из Китая в 2025-2026: причины и как заменить карго,Рост цен на поставки из Китая в Россию: причины 2025-2026 и как адаптироваться бизнесу,Indexable,1182,0,0,0.0,0,https://longwang.ru/useful-articles/biznes-s-kitaem-s-nulya-chto-nuzhno-znat-nachinayushhemu-predprinimatelyu/,0.949,107,2,0,0,0,2,0
https://longwang.ru/novosti-is-kitaya/spad-proizvodstva-kitaya/,"Производство в Китае 2026: где спад, а где рост для импортера",Производство в Китае 2025-2026: от спада к новому технологическому рывку,Indexable,1270,0,0,0.0,0,https://longwang.ru/international/,0.94,124,2,0,0,0,2,0
https://longwang.ru/novosti-is-kitaya/spros-na-kitajskie-brendy-televizorov/,Китайские бренды телевизоров: почему спрос вырос на 95% в 2026,Китайские телевизоры вытесняют конкурентов: что нужно знать бизнесу,Indexable,849,0,0,0.0,0,https://longwang.ru/novosti-is-kitaya/,0.872,34,2,0,0,0,2,0
https://longwang.ru/novosti-is-kitaya/xiaomi-vvoz-noutbukov-v-rossiyu/,Xiaomi может начать официальный ввоз ноутбуков в Россию - Long Wang,Xiaomi может начать официальный ввоз ноутбуков в Россию,Indexable,367,0,0,0.0,0,https://longwang.ru/useful-articles/analogi-mirovyh-brendov-v-kitae/,0.848,22,2,0,0,0,2,0
https://longwang.ru/useful-articles/agent-ved-broker-kitay/,Импорт из Китая под свой контракт или через брокера? - Long Wang,"Импорт из Китая: сами, через брокера или через агента ВЭД — что реально работает",Indexable,566,0,0,0.0,0,https://longwang.ru/useful-articles/dokumentalnoe-oformlenie-importa-cherez-agenta/,0.941,131,2,0,0,0,2,0
https://longwang.ru/useful-articles/atlas-copco-innovations/,Инновации компании Atlas Copco: технологии будущего - Long Wang,Инновации компании Atlas Copco: технологии будущего,Indexable,654,0,0,0.0,0,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/atlas-copco-product-supplies/,0.925,38,2,0,0,0,2,0
https://longwang.ru/useful-articles/bayer-v-kitae-plyusy-i-minusy/,Байер в Китае - плюсы и минусы - Long Wang,Байер в Китае — плюсы и минусы,Indexable,933,0,0,0.0,0,https://longwang.ru/useful-articles/kak-nachat-biznes-s-kitaem-chast-1/,0.929,111,2,0,0,0,2,0
https://longwang.ru/useful-articles/biznes-s-kitaem-s-nulya-chto-nuzhno-znat-nachinayushhemu-predprinimatelyu/,Бизнес с Китаем с нуля 2026: что реально нужно знать новичку,Бизнес с Китаем с нуля: что нужно знать начинающему предпринимателю в 2026 году,Indexable,1753,0,0,0.0,0,https://longwang.ru/novosti-is-kitaya/rost-czen-na-postavki-tovarov-iz-kitaya-v-rossiyu/,0.949,131,2,0,0,0,2,0
https://longwang.ru/useful-articles/cargo-at-customs/,Как сделать таможенное оформление грузов из Китая - Long Wang,Как правильно оформить груз на таможне и не попасть под штрафы?,Indexable,1350,0,0,0.0,0,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/tamojennoe-oformlenie-china/,0.925,122,2,0,0,0,2,0
https://longwang.ru/useful-articles/cheeper-shipping-china/,Консолидация грузов из Китая: как экономить при нескольких поставщиках,Экономия на доставке из Китая: как объединить грузы от разных поставщиков,Indexable,945,0,0,0.0,0,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/tamojennoe-oformlenie-china/,0.933,144,2,0,0,0,2,0
