Целевая URL,Title,H1,Content Inlinks,Card Inlinks,Unique Content Donors,Unique Card Donors,Near Duplicates,Semantically Similar Pages,Opportunities,Best Donor 1,Best Donor 2,Best Donor 3,Redirect/Canonical Link Fixes,Priority Score
https://longwang.ru/posledniye-novosti-iz-kitaya/,Последние новости из Китая - Long Wang,новости из китая,0,0,0,0,0,63,8,https://longwang.ru/novosti-is-kitaya/,https://longwang.ru/novosti-is-kitaya/kitajskie-akczii-v-rossii/,https://longwang.ru/novosti-is-kitaya/itogi-rasprodazhi-11-11/,0,22
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/abb-product-supplies/,Продукция ABB от дистрибьютера в Китае - Прямые поставки - Long Wang,Оригиналы ABB от официального дистрибьютера в Китае,1,1,1,1,4,32,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/novosti-is-kitaya/page/2/,https://longwang.ru/useful-articles/,0,20
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/airtac-supple-china/,Продукция бренда AiRTAC – Long Wang,Продукция бренда AiRTAC,1,1,1,1,0,38,8,https://longwang.ru/projects/podbor-i-proverka-postavschika-gruzovykh-avtomobiley/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/smc-product-supplies/,0,20
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/allen-bradley-product-supplies/,Поставка продукции бренда Allen-Bradley – Long Wang,Поставка продукции Allen-Bradley,1,1,1,1,0,38,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/freight-road-transportation/,0,20
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,Поставки Autonics напрямую от дистрибьютера,Поставки оригинальной продукции Autonics,1,1,1,1,0,122,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/festo-equipment-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/volvo-penta-product-supplies/,0,20
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/baluff-sensors/,Продукция Baluff от дистрибьютера в Китае - Прямые поставки - Long Wang,Baluff от официального дилера в Китае,1,1,1,1,0,9,8,https://longwang.ru/novosti-is-kitaya/portah-dalnego-vostoka/,https://longwang.ru/useful-articles/page/5/,https://longwang.ru/useful-articles/tamozhennaya-sertifikacziya/,0,20
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/cummins-product-supplies/,Поставка продукции бренда Cummins – Long Wang,Поставка продукции Cummins,1,1,1,1,0,103,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/omron-product-supplies/,https://longwang.ru/projects/tranzitnyj-eksport-dlya-slozhnyh-setevyh-i-servernyh-reshenij/,0,20
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/curtis-instruments-product-supplies/,Поставка продукции бренда Curtis Instruments – Long Wang,Поставка продукции Curtis Instruments,1,1,1,1,0,0,8,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/allen-bradley-product-supplies/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/freight-road-transportation/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/festo-equipment-supplies/,0,20
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/eaton-supply-china/,Оригиналы Eaton от дистрибьютера в Китае - Long Wang,Оригиналы Eaton от официального дистрибьютера в Китае,1,1,1,1,3,63,8,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/,https://longwang.ru/supplies-services-china/autsorsing-ved/,0,20
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/general-electric-product-supplies/,Поставка продукции General Electric – Long Wang,Поставка продукции General Electric,1,1,1,1,0,31,8,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/sany-product-supplies/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/allen-bradley-product-supplies/,0,20
