"Status","FullName","Directory","Name","Extension","OldLength","NewLength","OldLastWriteTime","NewLastWriteTime"
"Changed","C:\Users\Artem\AppData\Roaming\1C\1CEStart\ibases.v8i","C:\Users\Artem\AppData\Roaming\1C\1CEStart","ibases.v8i",".v8i","1421","1421","2026-04-10 15:38:27","2026-04-12 13:56:37"
"Changed","C:\Users\Artem\AppData\Roaming\1C\1cv8\1cv8strt.pfl","C:\Users\Artem\AppData\Roaming\1C\1cv8","1cv8strt.pfl",".pfl","2437","2437","2026-04-10 15:38:45","2026-04-12 13:56:38"
"Changed","C:\Users\Artem\AppData\Roaming\1C\1cv8\1cv8u.pfl","C:\Users\Artem\AppData\Roaming\1C\1cv8","1cv8u.pfl",".pfl","674","674","2026-04-10 17:25:08","2026-04-12 13:41:13"
"Changed","C:\Users\Artem\AppData\Roaming\1C\1cv8\63f5235e-f723-48de-a474-f361760c9580\1cv8c.pfl","C:\Users\Artem\AppData\Roaming\1C\1cv8\63f5235e-f723-48de-a474-f361760c9580","1cv8c.pfl",".pfl","339","339","2026-04-10 17:24:45","2026-04-12 13:41:01"
"Changed","C:\Users\Artem\AppData\Roaming\Apple Computer\iTunes\Cookies\Cookies.binarycookies","C:\Users\Artem\AppData\Roaming\Apple Computer\iTunes\Cookies","Cookies.binarycookies",".binarycookies","370","371","2024-12-22 10:54:48","2026-04-12 12:52:15"
"Changed","C:\Users\Artem\AppData\Roaming\Apple Computer\Preferences\com.apple.iTunes.plist","C:\Users\Artem\AppData\Roaming\Apple Computer\Preferences","com.apple.iTunes.plist",".plist","106940","106310","2024-12-22 10:22:41","2026-04-12 12:52:10"
"Changed","C:\Users\Artem\AppData\Roaming\Apple Computer\Preferences\ByHost\com.apple.iTunes.{f70ddb43-b58b-11ee-b78a-806e6f6e6963}.plist","C:\Users\Artem\AppData\Roaming\Apple Computer\Preferences\ByHost","com.apple.iTunes.{f70ddb43-b58b-11ee-b78a-806e6f6e6963}.plist",".plist","8944","8944","2024-12-22 10:22:34","2026-04-12 12:52:10"
"Changed","C:\Users\Artem\AppData\Roaming\Apple Computer\Preferences\ByHost\com.apple.syncservices.{f70ddb43-b58b-11ee-b78a-806e6f6e6963}.plist","C:\Users\Artem\AppData\Roaming\Apple Computer\Preferences\ByHost","com.apple.syncservices.{f70ddb43-b58b-11ee-b78a-806e6f6e6963}.plist",".plist","73","73","2024-12-22 10:23:06","2026-04-12 12:44:01"
"Changed","C:\Users\Artem\AppData\Roaming\Apple Computer\SyncServices\Local\schemas.adminarchive","C:\Users\Artem\AppData\Roaming\Apple Computer\SyncServices\Local","schemas.adminarchive",".adminarchive","133299","133317","2024-12-22 10:23:07","2026-04-12 12:44:01"
"Changed","C:\Users\Artem\AppData\Roaming\digikam\digikamstaterc","C:\Users\Artem\AppData\Roaming\digikam","digikamstaterc","","1289","1137","2026-04-12 12:02:50","2026-04-12 13:57:30"
"Changed","C:\Users\Artem\AppData\Roaming\FreeFileSync\GlobalSettings.xml","C:\Users\Artem\AppData\Roaming\FreeFileSync","GlobalSettings.xml",".xml","8051","8421","2026-04-12 12:13:15","2026-04-12 12:34:19"
"Changed","C:\Users\Artem\AppData\Roaming\FreeFileSync\LastRun.ffs_gui","C:\Users\Artem\AppData\Roaming\FreeFileSync","LastRun.ffs_gui",".ffs_gui","1337","1456","2026-04-12 12:13:15","2026-04-12 12:34:18"
"Changed","C:\Users\Artem\AppData\Roaming\Hardcoded Software\dupeGuru\exclude_list.xml","C:\Users\Artem\AppData\Roaming\Hardcoded Software\dupeGuru","exclude_list.xml",".xml","286","286","2026-04-09 21:10:13","2026-04-12 13:55:21"
"Changed","C:\Users\Artem\AppData\Roaming\Hardcoded Software\dupeGuru\ignore_list.xml","C:\Users\Artem\AppData\Roaming\Hardcoded Software\dupeGuru","ignore_list.xml",".xml","15","15","2026-04-09 21:10:13","2026-04-12 13:55:21"
"Changed","C:\Users\Artem\AppData\Roaming\Hardcoded Software\dupeGuru\last_directories.xml","C:\Users\Artem\AppData\Roaming\Hardcoded Software\dupeGuru","last_directories.xml",".xml","36161","36161","2026-04-09 21:10:13","2026-04-12 13:55:21"
"Changed","C:\Users\Artem\AppData\Roaming\Hardcoded Software\dupeGuru\settings.ini","C:\Users\Artem\AppData\Roaming\Hardcoded Software\dupeGuru","settings.ini",".ini","3770","3770","2026-04-09 21:10:13","2026-04-12 13:55:21"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Office\Recent\index.dat","C:\Users\Artem\AppData\Roaming\Microsoft\Office\Recent","index.dat",".dat","1563","1471","2026-04-12 11:44:44","2026-04-12 13:09:25"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-CA\default.acl","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-CA","default.acl",".acl","2","2","2026-04-12 11:20:42","2026-04-12 13:55:36"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-CA\default.exc","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-CA","default.exc",".exc","2","2","2026-04-12 11:20:42","2026-04-12 13:55:36"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-LR\default.acl","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-LR","default.acl",".acl","2","2","2026-04-12 11:20:42","2026-04-12 13:55:36"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-LR\default.exc","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-LR","default.exc",".exc","2","2","2026-04-12 11:20:42","2026-04-12 13:55:36"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-PH\default.acl","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-PH","default.acl",".acl","2","2","2026-04-12 11:20:42","2026-04-12 13:55:36"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-PH\default.exc","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-PH","default.exc",".exc","2","2","2026-04-12 11:20:42","2026-04-12 13:55:36"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-US\default.acl","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-US","default.acl",".acl","2","2","2026-04-12 11:20:42","2026-04-12 13:55:36"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-US\default.exc","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\en-US","default.exc",".exc","2","2","2026-04-12 11:20:42","2026-04-12 13:55:36"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\ru-MO\default.acl","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\ru-MO","default.acl",".acl","2","2","2026-04-12 11:20:42","2026-04-12 13:55:36"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\ru-MO\default.exc","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\ru-MO","default.exc",".exc","2","2","2026-04-12 11:20:42","2026-04-12 13:55:36"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\ru-RU\default.acl","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\ru-RU","default.acl",".acl","2","2","2026-04-12 11:51:16","2026-04-12 13:55:36"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\ru-RU\default.exc","C:\Users\Artem\AppData\Roaming\Microsoft\Spelling\ru-RU","default.exc",".exc","2","2","2026-04-12 11:51:16","2026-04-12 13:55:36"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Libraries\desktop.ini","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Libraries","desktop.ini",".ini","302","451","2024-02-19 15:39:18","2026-04-12 13:39:55"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\Mirror_E_Home.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","Mirror_E_Home.lnk",".lnk","501","501","2026-04-12 12:07:34","2026-04-12 12:26:23"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\Инструкции.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","Инструкции.lnk",".lnk","926","926","2026-04-11 11:09:04","2026-04-12 13:15:23"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\Локальный диск (E).lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","Локальный диск (E).lnk",".lnk","387","387","2026-04-12 12:06:17","2026-04-12 12:25:50"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\Программы.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","Программы.lnk",".lnk","116","116","2026-04-11 12:09:16","2026-04-12 12:51:10"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\Промт переписывания статей v.5.0.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","Промт переписывания статей v.5.0.lnk",".lnk","1370","1370","2026-04-11 09:49:54","2026-04-12 13:10:08"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\Рабочие.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","Рабочие.lnk",".lnk","1008","1008","2026-04-11 09:49:54","2026-04-12 13:10:08"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\что есть codex.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","что есть codex.lnk",".lnk","550","715","2026-04-12 11:44:37","2026-04-12 13:09:02"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5a2098e080cf7ac4.automaticDestinations-ms","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations","5a2098e080cf7ac4.automaticDestinations-ms",".automaticDestinations-ms","71488","71488","2026-04-12 11:34:36","2026-04-12 13:09:15"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations","5f7b5f1e01b83767.automaticDestinations-ms",".automaticDestinations-ms","3886080","3886080","2026-04-12 12:13:49","2026-04-12 13:56:41"
